player_id,alias,skill,deck_name,top_8,top_16,top_32,top_64,Weighted Position
333,Pauline,2.553,Katsu,6060,4768,7174,12185,11760.625
252,Ruby,1.853,Dromai,5123,4297,7155,12032,10564.25
229,Jean,1.412,Dash,5038,4541,6891,11981,10528.875
447,Ernest,1.657,Dromai,5009,4412,6946,11927,10442.375
302,Elena,1.693,Dromai,4732,4082,6691,11615,9897.625
45,Barbara,1.856,Dash,4747,3962,6576,11399,9796.875
130,Keisha,2.2,Katsu,4837,3716,6679,10963,9735.125
457,Martin,1.985,Katsu,4797,3829,6312,11026,9667.75
106,Michael,1.944,Dash,4660,3843,6450,11145,9587.125
490,Amelia,1.92,Dromai,4428,3670,6348,11044,9230.5
150,Casey,1.839,Dash,4384,3689,6411,11098,9218.5
450,David,1.904,Katsu,4452,3625,6208,10753,9160.625
510,Penelope,2.01,Rhinar,4431,3733,5938,10762,9127.25
66,Deanna,1.627,Dromai,4289,3654,6467,11023,9110.625
298,Bernadette,1.55,Dromai,4222,3574,6425,11100,9002.75
178,Tanya,1.624,Dromai,4158,3562,6322,11059,8901.875
397,Ronald,1.435,Bravo,4106,3625,6048,10712,8769.5
477,Jason,1.015,Dromai,4012,3665,6109,10685,8707.375
282,Mara,1.855,Dromai,3890,3338,6191,10699,8444.125
33,Louise,0.78,Dromai,3845,3388,5908,10510,8329.75
63,Jolene,1.887,Iyslander,3689,3750,5454,10330,8218.75
78,Sheree,1.221,Dash,3742,3379,5687,10428,8156.75
390,Donald,1.316,Bravo,3680,3450,5710,10363,8127.875
263,James,1.032,Dash,3538,3335,5864,10226,7949.75
96,Christian,1.194,Katsu,3655,3229,5620,9926,7915.25
318,Kerri,0.814,Dash,3595,3187,5556,10058,7834.75
84,Brian,1.202,Katsu,3648,3025,5539,9817,7772.375
13,Jennifer,0.641,Dromai,3521,3067,5670,10246,7752.75
485,Justin,0.936,Dromai,3407,3222,5653,10264,7714.25
301,Robert,1.561,Katsu,3574,3068,5378,9744,7670.5
223,Glenn,1.865,Bravo,3477,3008,5667,10038,7652.5
271,Paul,0.949,Dromai,3398,3052,5561,10094,7576
281,Nicholas,1.453,Rhinar,3457,3067,5344,9673,7535.625
11,Amy,0.395,Dromai,3333,3046,5460,9881,7456.125
205,Richard,0.806,Dash,3299,2959,5362,9934,7360.75
249,Noemi,0.561,Dromai,3244,2990,5375,10173,7354.375
377,Joseph,0.296,Dromai,3246,2985,5380,9782,7306.25
134,Verna,1.215,Dash,3186,2823,5342,9674,7142.25
142,Deanne,1.139,Dash,3152,2842,5404,9683,7134.375
456,Jack,1.21,Katsu,3197,2863,5108,9280,7065.5
188,Bryan,0.72,Dromai,3145,2808,5218,9640,7058.5
98,Brenda,1.269,Dromai,3084,2742,5382,9833,7029.625
378,Jennifer,0.53,Dromai,3089,2790,5329,9704,7029.25
211,Edna,1.203,Bravo,3185,2800,5118,9272,7023.5
345,Dennis,1.83,Fai,3069,3095,4942,9263,7009.875
180,Albert,0.958,Dash,3132,2678,5279,9613,6992.375
100,George,0.979,Bravo,3048,2873,5162,9549,6968.625
54,Isabelle,1.481,Rhinar,3137,2708,5213,9217,6946.375
18,Matthew,0.642,Dromai,2978,2817,5283,9528,6898.25
217,Fannie,0.974,Dash,3105,2665,5134,9260,6878.5
310,Chad,1.152,Bravo,3055,2680,5124,9329,6842.125
115,Michael,0.782,Dromai,3013,2612,5125,9425,6778.375
161,Richard,1.053,Rhinar,3013,2663,5003,8911,6709.125
307,Lisa,1.038,Dash,3022,2559,4949,9345,6706.875
129,Martin,1.213,Dromai,2936,2677,4977,9466,6702
128,Lucille,1.475,Bravo,2972,2703,4793,9307,6685.125
95,Bernard,1.04,Bravo,2898,2660,4787,8991,6548.625
403,Karl,0.658,Dromai,2865,2635,4846,9202,6544.25
434,Gregory,0.144,Dromai,2799,2670,4980,9321,6544.125
427,June,1.179,Dromai,2828,2576,4987,9387,6536.125
6,Anthony,0.451,Dromai,2853,2517,4982,9273,6516.125
81,Anthony,0.784,Rhinar,2916,2511,4883,8937,6509.375
489,Jose,1.29,Katsu,2905,2574,4811,8913,6508.875
210,Laura,1.114,Dromai,2792,2527,4917,9246,6440.5
431,Belen,1.128,Katsu,2835,2588,4790,8873,6435.625
108,Michael,0.682,Dromai,2754,2499,4971,9151,6390.125
255,Norman,0.539,Dromai,2720,2514,4954,9198,6365.25
15,Pedro,0.074,Dromai,2764,2484,4881,9026,6354.5
488,Betty,0.847,Dromai,2768,2516,4745,9126,6353
103,Lori,0.986,Dromai,2716,2413,5089,9188,6343.25
261,Matthew,0.76,Bravo,2775,2510,4797,8857,6336.375
69,William,0.628,Dash,2736,2536,4870,8904,6334.5
46,Delores,2.308,Azalea,2667,2929,4391,8564,6299.75
379,Louise,0.308,Dromai,2614,2529,4994,9137,6269.125
206,Andrew,0.135,Dromai,2699,2511,4750,8990,6265.75
83,Frances,1.06,Dromai,2667,2479,4821,8894,6223.5
114,John,0.372,Bravo,2667,2629,4557,8672,6204.75
90,Carrie,1.131,Dromai,2659,2396,4803,9000,6182.75
445,Diana,1.123,Katsu,2659,2600,4616,8398,6162.75
75,Rita,0.555,Dash,2623,2481,4720,8816,6145.5
417,Jimmy,0.807,Dash,2631,2461,4771,8695,6141.125
17,Charles,0.819,Dash,2560,2499,4745,8906,6109
5,Debra,0.457,Katsu,2678,2323,4635,8660,6080.75
79,Sandra,1.257,Bravo,2678,2291,4592,8539,6038.875
184,Edith,0.535,Rhinar,2589,2481,4492,8472,6011.5
197,Lorna,0.829,Dash,2528,2350,4749,8770,5986.5
193,Leeann,0.623,Dromai,2593,2311,4598,8699,5985.375
437,Eric,1.708,Fai,2463,2430,4492,8513,5865.125
506,Alisha,0.322,Dromai,2443,2353,4615,8560,5843.25
239,Julie,2.277,Azalea,2487,2518,4120,8311,5814.875
179,Roderick,1.642,Fai,2488,2308,4489,8324,5804.75
330,Aimee,0.601,Rhinar,2480,2329,4418,8247,5779.875
251,Stephen,-0.114,Dromai,2465,2263,4433,8567,5775.625
23,Charles,0.7,Katsu,2482,2227,4413,8377,5745.875
443,Lexie,0.406,Dromai,2348,2317,4592,8520,5719.5
146,Adam,0.488,Dash,2413,2232,4525,8384,5708.25
314,Cory,0.813,Katsu,2454,2243,4378,8221,5697.625
320,Scott,0.569,Dromai,2408,2163,4504,8423,5668.375
389,Carla,0.492,Dromai,2294,2330,4517,8602,5663.5
274,James,0.218,Dromai,2304,2297,4474,8540,5638.5
143,Carl,0.374,Dromai,2446,2126,4364,8253,5631.625
370,Kristina,0.328,Dromai,2331,2272,4374,8436,5615
144,Angela,0.229,Dromai,2314,2266,4467,8408,5614.75
482,James,0.454,Dash,2331,2176,4439,8244,5559.25
508,Kelly,1.638,Iyslander,2195,2387,4338,8500,5535.5
70,Elba,1.327,Fai,2359,2225,4115,8229,5528.875
491,David,1.011,Katsu,2387,2167,4162,8072,5520
419,Ruth,0.096,Dromai,2211,2223,4551,8333,5501.875
53,Joanne,0.518,Bravo,2303,2132,4284,8226,5468.25
154,Roy,0.498,Bravo,2258,2184,4421,8098,5467.5
153,Margaret,1.211,Fai,2287,2269,4079,8035,5445.625
290,Suzanne,0.356,Katsu,2331,2122,4073,7873,5394.375
169,Paul,1.854,Dorinthea,2180,2396,3984,8081,5384.125
424,Jesse,0.852,Bravo,2220,2185,4183,8092,5369.75
71,Tamara,0.601,Dromai,2156,2140,4426,8260,5365
287,Katrina,0.721,Dromai,2219,2084,4275,8278,5364.5
410,Laurence,0.344,Dromai,2149,2146,4196,8248,5302
120,Wanda,-0.054,Bravo,2194,2216,4059,7796,5291.25
170,Kyle,-0.18,Dromai,2162,2124,4130,8220,5284
176,Mary,1.2,Fai,2215,2126,4130,7716,5275
140,Cindy,0.128,Dromai,2120,2131,4259,8059,5257.625
137,John,-0.066,Dash,2169,2111,4112,8021,5255.125
233,Inez,0.513,Rhinar,2209,2090,4124,7717,5249.625
56,Jo,0.178,Katsu,2191,2111,4130,7737,5246.125
365,Lana,0.382,Dromai,2164,2075,4153,8020,5242.25
264,Beulah,0.316,Dromai,2130,2083,4199,7964,5216.75
93,Linda,0.449,Katsu,2163,2033,4167,7641,5176.375
385,James,0.543,Katsu,2147,2023,4149,7759,5165.625
34,Martha,1.046,Fai,2132,2098,3975,7917,5164.375
324,William,0.973,Fai,2071,2267,3902,7760,5150
344,Gonzalo,0.597,Bravo,2086,2099,4095,7861,5141.875
267,Jean,0.355,Katsu,2149,2062,4031,7553,5131.875
415,Margaret,0.702,Dromai,2049,2011,4132,8120,5102.5
92,Brandon,0.642,Dromai,2079,1899,4203,8143,5097.125
222,Alex,0.253,Dash,2068,2053,4066,7885,5096.625
80,Richard,0.745,Dash,2086,2036,4004,7864,5088
502,Dustin,0.121,Dash,2031,1999,4127,7883,5047.625
461,Maria,0.263,Bravo,2037,2091,3953,7709,5034.375
336,Phillip,-0.213,Dromai,1971,2108,4029,8008,5033.25
102,Mary,0.411,Dromai,2028,1951,4071,7968,5017.25
195,Sandra,0.372,Dash,2004,1952,3980,8039,4979.875
64,Joyce,1.562,Iyslander,1978,2103,3961,7676,4979.25
405,Theodore,1.008,Fai,2012,2119,3821,7531,4968.125
28,Rosa,0.265,Dash,2047,1896,3989,7640,4947.25
105,Justin,0.356,Bravo,2037,1901,3980,7579,4929.875
99,Bobbye,0.499,Dash,1942,1903,3978,7686,4848.75
432,Kevin,-0.329,Dromai,1950,1938,3879,7639,4843.625
30,Elmer,0.597,Bravo,1991,1861,3932,7350,4823.25
305,Virginia,0.944,Fai,1939,2034,3712,7488,4820
88,Donald,1.363,Iyslander,1882,2053,3789,7553,4799.875
238,Janice,0.246,Bravo,1935,1854,3932,7544,4788
293,David,-0.215,Dash,1909,1913,3927,7526,4788
464,Daniel,0.378,Katsu,1999,1888,3761,7232,4787.25
247,Ronald,1.091,Iyslander,1892,2006,3773,7568,4784.25
236,Carole,0.267,Katsu,2010,1909,3667,7188,4779.75
168,Robert,-0.346,Dromai,1880,1895,3953,7640,4770.75
296,Thelma,0.186,Dash,1937,1772,3986,7511,4758.375
327,Tim,0.952,Iyslander,1821,2090,3773,7526,4750
131,Jeffrey,1.147,Fai,1921,1924,3560,7428,4701.5
407,Joseph,0.164,Katsu,1943,1861,3622,7285,4689.625
138,Susan,1.291,Iyslander,1840,1941,3770,7340,4670.5
225,Betsy,-0.943,Dromai,1809,1902,3825,7535,4658.125
208,Valerie,0.111,Dromai,1861,1759,3848,7534,4644.25
117,Janice,-0.293,Dromai,1875,1744,3866,7405,4639.125
218,Mark,-0.151,Dromai,1863,1774,3808,7401,4627.125
343,John,0.969,Fai,1856,1914,3621,7258,4625.5
294,Barbara,-0.048,Dash,1850,1816,3780,7353,4622.125
181,Patricia,0.554,Bravo,1899,1688,3758,7413,4609.125
29,Corey,0.135,Dromai,1838,1790,3759,7446,4603.5
42,Larry,-0.275,Dromai,1858,1754,3656,7373,4570.625
387,Nancy,0.797,Fai,1786,2008,3494,7182,4561.25
381,Francisco,0.777,Iyslander,1753,1892,3676,7407,4543.875
213,Carlos,-0.193,Katsu,1803,1834,3636,6953,4498.125
481,Kurt,0.256,Rhinar,1800,1846,3521,6914,4467.5
420,Marie,-0.306,Dromai,1757,1794,3560,7341,4461.625
492,Melissa,-0.419,Dromai,1706,1774,3650,7233,4409.625
362,Rolland,-0.205,Bravo,1742,1809,3588,6885,4404.125
285,Ivan,0.081,Dash,1718,1715,3660,7242,4395.75
321,Glenda,0.002,Bravo,1714,1753,3529,7249,4378.875
358,Ronald,0.02,Katsu,1724,1786,3545,6952,4372.25
246,Lena,0.907,Iyslander,1699,1724,3549,7332,4364.75
503,Erika,-0.438,Dromai,1680,1769,3592,7125,4353.125
442,Brandon,0.766,Fai,1727,1774,3436,6698,4310.25
200,James,-0.266,Dash,1718,1598,3596,7034,4295.25
192,Christine,-0.172,Katsu,1707,1730,3549,6645,4289.875
280,Steven,1.606,Dorinthea,1635,1872,3392,6953,4288.125
198,Frances,-0.297,Dromai,1656,1647,3542,7147,4258.375
121,Erica,-0.445,Dromai,1680,1582,3578,7125,4256.125
430,Robert,-0.076,Dash,1644,1711,3503,6864,4233.25
368,Grant,-0.036,Katsu,1689,1696,3403,6744,4230.75
500,Ramiro,-0.299,Bravo,1682,1639,3424,6885,4218.125
97,Samuel,0.237,Dromai,1656,1530,3609,7144,4216.25
21,Michael,0.957,Iyslander,1629,1707,3406,6966,4204.75
59,James,-0.207,Dromai,1637,1628,3488,6915,4187.375
36,Scott,0.83,Iyslander,1596,1747,3312,7032,4176.5
31,Lauren,-0.167,Katsu,1686,1618,3392,6588,4166.5
332,Charles,0.118,Bravo,1634,1606,3481,6768,4153.25
463,John,1.169,Dorinthea,1532,1929,3217,6674,4135
474,Willie,-0.58,Bravo,1654,1620,3382,6534,4126.25
409,Alicia,-0.04,Dash,1576,1647,3451,6898,4124.5
423,Brian,-0.177,Dash,1584,1612,3457,6900,4116.75
58,Donna,0.428,Fai,1604,1655,3394,6590,4103.75
269,Betty,0.956,Iyslander,1556,1763,3215,6897,4103.375
494,Kathleen,0.426,Iyslander,1510,1800,3334,6715,4082.875
284,Willie,-0.104,Rhinar,1614,1617,3286,6686,4079.75
448,Loretta,-0.419,Dash,1619,1561,3315,6802,4078.5
48,Andrew,0.061,Rhinar,1618,1524,3344,6769,4062.125
322,Helen,-0.808,Dash,1572,1644,3282,6691,4050.875
425,Eddie,0.173,Bravo,1545,1606,3428,6695,4041.875
366,Laraine,-0.09,Dromai,1596,1516,3254,6695,4004.375
165,Marvin,0.25,Iyslander,1496,1712,3231,6745,4002.875
148,Ivan,-0.499,Dromai,1548,1539,3329,6793,3998.875
254,Joanne,-0.177,Dash,1543,1441,3402,6753,3958.125
392,David,-0.841,Dromai,1492,1495,3376,6722,3923.75
258,Patricia,0.492,Iyslander,1448,1631,3258,6710,3916.75
245,Elton,-0.869,Dromai,1475,1546,3314,6659,3908.875
27,Robert,-0.479,Rhinar,1580,1453,3207,6218,3885.5
127,Emmanuel,-1.195,Dromai,1477,1521,3261,6635,3882.125
212,John,-0.183,Rhinar,1528,1504,3176,6403,3874.375
199,Nellie,-0.537,Dromai,1452,1494,3326,6673,3864.625
496,Barbara,-0.945,Dromai,1468,1558,3154,6616,3862.5
413,John,-0.273,Bravo,1468,1537,3292,6395,3858.875
8,Evelyn,0.017,Dash,1471,1467,3215,6709,3846.875
177,Lynda,-0.239,Dash,1440,1502,3282,6654,3843.25
52,Ashley,-0.395,Katsu,1553,1395,3125,6311,3820.625
265,Renee,-0.361,Dromai,1441,1472,3244,6568,3809
311,Ada,-0.125,Dromai,1450,1453,3211,6608,3805.25
353,Edward,-0.326,Dromai,1446,1473,3181,6569,3798.875
384,Dane,-0.204,Katsu,1480,1456,3038,6434,3771.75
351,Emerson,0.499,Iyslander,1401,1609,3014,6369,3755.125
286,Phylis,-0.372,Bravo,1428,1468,3060,6371,3723.375
85,Bernard,-0.121,Bravo,1405,1413,3233,6416,3721.75
157,Ryan,0.379,Fai,1411,1528,3063,6224,3718.75
16,Megan,-0.746,Dromai,1425,1381,3167,6400,3707.25
132,Desire,-0.277,Dash,1395,1368,3238,6528,3704.5
278,Tammy,0.162,Fai,1418,1514,2943,6299,3698.125
196,Esther,-0.279,Dash,1385,1447,3118,6434,3692.25
166,Shirley,-1.26,Dromai,1367,1475,3172,6270,3681.25
354,Sharon,-0.34,Dromai,1387,1437,3071,6462,3681
479,Cecil,0.279,Iyslander,1351,1615,2928,6253,3672.125
110,Gertrude,-0.398,Katsu,1464,1361,3013,6092,3659.25
14,Benjamin,1.803,Azalea,1390,1482,2949,6256,3650.25
315,Josefina,0.36,Fai,1394,1477,3015,6092,3647.75
295,Nickolas,-1.031,Dromai,1362,1397,3105,6395,3636.125
429,Deena,-0.171,Katsu,1391,1435,3022,6172,3635.5
256,Daniel,-0.798,Dromai,1335,1420,3105,6469,3629.875
187,Billy,0.321,Iyslander,1335,1504,3024,6263,3625.875
73,Dorothy,-0.768,Dromai,1402,1331,3025,6325,3614.375
369,Bertha,0.79,Dorinthea,1360,1528,2924,6047,3610.875
89,Fran,-0.242,Dromai,1327,1372,3149,6389,3598.875
149,Branden,-0.759,Dromai,1329,1370,3108,6372,3587.5
334,Warren,0.3,Fai,1366,1472,2923,5986,3581
135,Verna,-0.198,Katsu,1360,1372,3057,5997,3559.875
